p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
43,56,Tc,142.6836,44,55,Ru,379,0.00000000487031,0.0000000000000146498,0.0000000351977,0.000000000000105616,2026-07-09
43,56,Tc,142.6836,44,55,Ru,380,0.00000000473709,0.000000000000014251,0.000000035235,0.000000000000105728,2026-07-09
43,56,Tc,142.6836,44,55,Ru,381,0.00000000460495,0.0000000000000138554,0.0000000352725,0.000000000000105841,2026-07-09
43,56,Tc,142.6836,44,55,Ru,382,0.00000000447392,0.0000000000000134631,0.0000000353101,0.000000000000105953,2026-07-09
43,56,Tc,142.6836,44,55,Ru,383,0.00000000434404,0.0000000000000130743,0.0000000353479,0.000000000000106067,2026-07-09
43,56,Tc,142.6836,44,55,Ru,384,0.00000000421533,0.0000000000000126891,0.0000000353858,0.000000000000106181,2026-07-09
43,56,Tc,142.6836,44,55,Ru,385,0.00000000408783,0.0000000000000123075,0.000000035424,0.000000000000106295,2026-07-09
43,56,Tc,142.6836,44,55,Ru,386,0.00000000396156,0.0000000000000119296,0.0000000354623,0.00000000000010641,2026-07-09
43,56,Tc,142.6836,44,55,Ru,387,0.00000000383656,0.0000000000000115555,0.0000000355009,0.000000000000106526,2026-07-09
43,56,Tc,142.6836,44,55,Ru,388,0.00000000371287,0.0000000000000111854,0.0000000355397,0.000000000000106643,2026-07-09
43,56,Tc,142.6836,44,55,Ru,389,0.00000000359051,0.0000000000000108192,0.0000000355787,0.00000000000010676,2026-07-09
43,56,Tc,142.6836,44,55,Ru,390,0.00000000346952,0.0000000000000104572,0.000000035618,0.000000000000106878,2026-07-09
43,56,Tc,142.6836,44,55,Ru,391,0.00000000334993,0.0000000000000100994,0.0000000356575,0.000000000000106996,2026-07-09
43,56,Tc,142.6836,44,55,Ru,392,0.00000000323177,0.00000000000000974596,0.0000000356972,0.000000000000107115,2026-07-09
43,56,Tc,142.6836,44,55,Ru,393,0.00000000311509,0.00000000000000939693,0.0000000357373,0.000000000000107236,2026-07-09
43,56,Tc,142.6836,44,55,Ru,394,0.0000000029999,0.00000000000000905239,0.0000000357776,0.000000000000107357,2026-07-09
43,56,Tc,142.6836,44,55,Ru,395,0.00000000288626,0.00000000000000871252,0.0000000358183,0.000000000000107479,2026-07-09
43,56,Tc,142.6836,44,55,Ru,396,0.00000000277419,0.00000000000000837737,0.0000000358592,0.000000000000107602,2026-07-09
