mean_energy,unc_me,intensity_beta,unc_ib,daughter_level_hl,daughter_level_energy,max_energy,unc_me,log_ft,unc_lf,transition_type,anti_nu_mean_energy,unc_ame,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
30,0.4,0.00011,0.00008,,322.40,117.8,1,8.5,0.4,1NU,86.7,0.9,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
81.7,0.6,0.0016,0.0004,0.0000000189,89.50,208,1,15.78,0.11,2U,124.5,0.6,43,56,Tc,,0,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
84.6,0.5,99.9984,0.0004,,0,297.5,1,12.325,0.012,2NU,195.1,0.9,43,56,Tc,,0,,9/2+,2.111E+5,,12,Y,6661667073236.371,37868311169.5104,B-,100,,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
101.9,0.5,0.0026,0.0005,,89.60,350.6,1,8.65,0.09,1NU,247.8,0.9,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09
152.2,0.5,0.001,0.0003,,0,440.2,1,9.38,0.13,1U,287.1,1.1,43,56,Tc,,142.6836,0.0011,1/2-,6.0072,,9,h,21625.92,3.24,B-,0.0037,0.0006,297.5,9,44,55,Ru,1-Jul-2017,E. BROWNE and  J. K. TULI,2026-07-09

