energy,unc_en,intensity,unc_i,type,shell,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
4.54,,0.6040157907418778,0.04431587811313878,X,L,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
29.458,,1.446036761837186,0.09038665112772425,X,KA2,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
29.778,,2.6788380174827457,0.16698444403299537,X,KA1,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
33.726,,0.7765844345855567,0.0491505576795818,X,KpB1,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
34.03,,0.9598583611477481,0.06062587124636211,X,KB,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09
34.414,,0.18327392656219138,0.012232179618843382,X,KpB2,53,78,I,,0,,7/2+,8.0252,,6,d,693377.28,51.84,B-,100,,970.8,6,54,77,Xe,17-Jul-2006,YU. KHAZOV and  I. MITROPOLSKY and  A. RODIONOV,2026-07-09

