p_z,p_n,p_symbol,p_energy,d_z,d_n,d_symbol,bin_en,dn_de,unc_dn_de,dn_de_nu,unc_dn_de_nu,extraction_date
9,9,F,0,8,10,O,126,0.00235912,0.00000335481,0.000597222,0.00000142459,2026-07-09
9,9,F,0,8,10,O,128,0.00237298,0.00000335227,0.000613411,0.00000146068,2026-07-09
9,9,F,0,8,10,O,130,0.00238642,0.00000334869,0.000629722,0.00000149691,2026-07-09
9,9,F,0,8,10,O,132,0.00239943,0.00000334408,0.000646152,0.00000153327,2026-07-09
9,9,F,0,8,10,O,134,0.00241202,0.00000333846,0.000662698,0.00000156974,2026-07-09
9,9,F,0,8,10,O,136,0.0024242,0.00000333185,0.000679355,0.00000160633,2026-07-09
9,9,F,0,8,10,O,138,0.00243597,0.00000332424,0.000696119,0.000001643,2026-07-09
9,9,F,0,8,10,O,140,0.00244733,0.00000331567,0.000712987,0.00000167975,2026-07-09
9,9,F,0,8,10,O,142,0.00245829,0.00000330613,0.000729956,0.00000171658,2026-07-09
9,9,F,0,8,10,O,144,0.00246886,0.00000329565,0.000747021,0.00000175346,2026-07-09
9,9,F,0,8,10,O,146,0.00247903,0.00000328423,0.000764179,0.00000179039,2026-07-09
9,9,F,0,8,10,O,148,0.00248882,0.00000327189,0.000781427,0.00000182735,2026-07-09
9,9,F,0,8,10,O,150,0.00249822,0.00000325864,0.00079876,0.00000186433,2026-07-09
9,9,F,0,8,10,O,152,0.00250723,0.00000324449,0.000816176,0.00000190133,2026-07-09
9,9,F,0,8,10,O,154,0.00251587,0.00000322946,0.00083367,0.00000193833,2026-07-09
9,9,F,0,8,10,O,156,0.00252414,0.00000321354,0.000851239,0.00000197531,2026-07-09
9,9,F,0,8,10,O,158,0.00253204,0.00000319676,0.000868879,0.00000201227,2026-07-09
9,9,F,0,8,10,O,160,0.00253957,0.00000317913,0.000886587,0.0000020492,2026-07-09
9,9,F,0,8,10,O,162,0.00254674,0.00000316066,0.000904359,0.00000208608,2026-07-09
9,9,F,0,8,10,O,164,0.00255354,0.00000314135,0.000922193,0.00000212291,2026-07-09
9,9,F,0,8,10,O,166,0.00255999,0.00000312122,0.000940083,0.00000215967,2026-07-09
9,9,F,0,8,10,O,168,0.00256609,0.00000310029,0.000958028,0.00000219635,2026-07-09
9,9,F,0,8,10,O,170,0.00257184,0.00000307855,0.000976023,0.00000223295,2026-07-09
9,9,F,0,8,10,O,172,0.00257724,0.00000305602,0.000994065,0.00000226944,2026-07-09
9,9,F,0,8,10,O,174,0.00258229,0.00000303272,0.00101215,0.00000230582,2026-07-09
9,9,F,0,8,10,O,176,0.002587,0.00000300865,0.00103028,0.00000234208,2026-07-09
9,9,F,0,8,10,O,178,0.00259138,0.00000298382,0.00104844,0.0000023782,2026-07-09
9,9,F,0,8,10,O,180,0.00259542,0.00000295824,0.00106663,0.00000241419,2026-07-09
9,9,F,0,8,10,O,182,0.00259913,0.00000293193,0.00108486,0.00000245002,2026-07-09
9,9,F,0,8,10,O,184,0.0026025,0.00000290489,0.00110311,0.00000248568,2026-07-09
9,9,F,0,8,10,O,186,0.00260556,0.00000287713,0.00112138,0.00000252117,2026-07-09
9,9,F,0,8,10,O,188,0.00260828,0.00000284866,0.00113968,0.00000255647,2026-07-09
9,9,F,0,8,10,O,190,0.00261069,0.0000028195,0.00115799,0.00000259158,2026-07-09
9,9,F,0,8,10,O,192,0.00261277,0.00000278965,0.00117632,0.00000262648,2026-07-09
