nuclide	particle	radiation_code	shell	energy_keV	energy_MeV	yield_per_decay	intensity_percent	source
I-131	electron	CE	L	359.0358	0.3590358	0.00243685	0.243685	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	M	363.3403	0.3633403	0.000501225	0.0501225	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	N	364.2758	0.3642758	0.000102201	0.0102201	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	N+	364.2758	0.3642758	0.0001141815	0.01141815	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	O	364.46561	0.36446561	1.200495e-05	0.001200495	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	K	370.249	0.370249	8.245355e-06	0.0008245355	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	L	399.3608	0.3993608	1.146705e-06	0.0001146705	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	M	403.6653	0.4036653	2.3425545e-07	2.3425545e-05	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	N+	404.6008	0.4046008	5.394974e-08	5.394974e-06	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	N	404.6008	0.4046008	4.8107005e-08	4.8107005e-06	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	O	404.79061	0.40479061	5.853656e-09	5.853656e-07	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	K	468.439	0.468439	2.659671e-05	0.002659671	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	L	497.5508	0.4975508	3.89246445e-06	0.000389246445	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	M	501.8553	0.5018553	7.9430715e-07	7.9430715e-05	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	N	502.7908	0.5027908	1.62814995e-07	1.62814995e-05	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	N+	502.7908	0.5027908	1.8258282e-07	1.8258282e-05	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	O	502.98061	0.50298061	1.9552176e-08	1.9552176e-06	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	K	602.424	0.602424	0.0003005394	0.03005394	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	K	608.154	0.608154	8.498168e-06	0.0008498168	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	L	631.5358	0.6315358	3.9427907e-05	0.0039427907	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	M	635.8403	0.6358403	8.0358511e-06	0.00080358511	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	N+	636.7758	0.6367758	1.8533263e-06	0.00018533263	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	N	636.7758	0.6367758	1.6529667e-06	0.00016529667	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	O	636.96561	0.63696561	2.0107517e-07	2.0107517e-05	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	L	637.2658	0.6372658	1.1663302e-06	0.00011663302	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	M	641.5703	0.6415703	2.3760184e-07	2.3760184e-05	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	N+	642.5058	0.6425058	5.484787e-08	5.484787e-06	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	N	642.5058	0.6425058	4.877775e-08	4.877775e-06	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	O	642.69561	0.64269561	5.940046e-09	5.940046e-07	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	K	688.346	0.688346	6.72049e-05	0.00672049	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	L	717.4578	0.7174578	8.665895e-06	0.0008665895	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	M	721.7623	0.7217623	1.74555885e-06	0.000174555885	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	N	722.6978	0.7226978	3.6149162e-07	3.6149162e-05	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
I-131	electron	CE	O	722.88761	0.72288761	4.5451735e-08	4.5451735e-06	IAEA LiveChart decay_rads, grouped by particle/code/shell/energy
