nuclide	particle	mean_energy_keV	mean_energy_MeV	endpoint_energy_keV	endpoint_energy_MeV	yield_per_decay	intensity_percent	daughter_level_energy_keV	transition_type	log_ft	parent_energy_keV	decay	decay_percent	daughter	source
F-18	beta+	249.8	0.2498			0.9673	96.73	0	A	3.57	0	EC+B+	100	O	IAEA LiveChart decay_rads
F-18	electron-capture			1655.4	1.6554	0.0327	3.27	0	A	3.57	0	EC+B+	100	O	IAEA LiveChart decay_rads
