nuclide	particle	bin_energy_keV	bin_energy_MeV	dn_dE_per_decay_per_keV	dn_dE_per_decay_per_MeV	unc_dn_dE_per_decay_per_keV	nu_dn_dE_per_decay_per_keV	nu_unc_dn_dE_per_decay_per_keV	parent_energy_keV	daughter	source
I-131	beta-	752	0.752	3.22913e-07	0.000322913	0.000000000291516	7.85958e-06	0.00000000707398	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	754	0.754	3.01755e-07	0.000301755	0.000000000272493	7.86893e-06	0.0000000070824	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	756	0.756	2.81175e-07	0.000281175	0.000000000253991	7.87827e-06	0.0000000070908	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	758	0.758	2.61188e-07	0.000261188	0.000000000236024	7.8876e-06	0.0000000070992	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	760	0.76	2.41808e-07	0.000241808	0.000000000218602	7.8969e-06	0.00000000710757	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	762	0.762	2.2305e-07	0.00022305	0.000000000201741	7.90619e-06	0.00000000711593	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	764	0.764	2.04929e-07	0.000204929	0.000000000185454	7.91545e-06	0.00000000712427	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	766	0.766	1.87461e-07	0.000187461	0.000000000169755	7.92468e-06	0.00000000713258	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	768	0.768	1.7066e-07	0.00017066	0.000000000154656	7.93386e-06	0.00000000714084	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	770	0.77	1.54543e-07	0.000154543	0.000000000140174	7.943e-06	0.00000000714907	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	772	0.772	1.39124e-07	0.000139124	0.00000000012632	7.95207e-06	0.00000000715723	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	774	0.774	1.24421e-07	0.000124421	0.00000000011311	7.96106e-06	0.00000000716532	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	776	0.776	1.10448e-07	0.000110448	0.000000000100559	7.96994e-06	0.00000000717331	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	778	0.778	9.72235e-08	9.72235e-05	0.0000000000886808	7.9787e-06	0.0000000071812	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	780	0.78	8.47624e-08	8.47624e-05	0.0000000000774904	7.98729e-06	0.00000000718893	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	782	0.782	7.30819e-08	7.30819e-05	0.0000000000670029	7.99569e-06	0.00000000719649	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	784	0.784	6.21989e-08	6.21989e-05	0.0000000000572334	8.00383e-06	0.00000000720381	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	786	0.786	5.21304e-08	5.21304e-05	0.0000000000481971	8.01167e-06	0.00000000721087	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	788	0.788	4.28936e-08	4.28936e-05	0.0000000000399093	8.01914e-06	0.00000000721759	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	790	0.79	3.45058e-08	3.45058e-05	0.0000000000323853	8.02614e-06	0.00000000722388	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	792	0.792	2.69848e-08	2.69848e-05	0.0000000000256405	8.03255e-06	0.00000000722964	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	794	0.794	2.0348e-08	2.0348e-05	0.0000000000196894	8.03819e-06	0.00000000723471	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	796	0.796	1.46134e-08	1.46134e-05	0.0000000000145461	8.04278e-06	0.00000000723883	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	798	0.798	9.79899e-09	9.79899e-06	0.0000000000102218	8.04573e-06	0.00000000724146	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	800	0.8	5.9227e-09	5.9227e-06	0.00000000000672129	8.0457e-06	0.0000000072414	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	802	0.802	3.00259e-09	3.00259e-06	0.00000000000403187	8.03924e-06	0.00000000723551	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	804	0.804	1.05657e-09	1.05657e-06	0.00000000000209093	8.01957e-06	0.0000000072177	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	806	0.806	1.01998e-10	1.01998e-07	0.000000000000710846	8.15466e-06	0.00000000877296	0	Xe	IAEA LiveChart bin_beta Betashape
I-131	beta-	806.9	0.8069	0	0	0	8.26595e-06	0.00000000933117	0	Xe	IAEA LiveChart bin_beta Betashape
