nuclide	particle	bin_energy_keV	bin_energy_MeV	dn_dE_per_decay_per_keV	dn_dE_per_decay_per_MeV	unc_dn_dE_per_decay_per_keV	nu_dn_dE_per_decay_per_keV	nu_unc_dn_dE_per_decay_per_keV	parent_energy_keV	daughter	source
Tc-99m	beta-	100	0.1	1.5122e-07	0.00015122	0.000000000000591291	5.85186e-08	0.000000000000148063	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	101	0.101	1.50549e-07	0.000150549	0.000000000000588576	5.94944e-08	0.000000000000150622	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	102	0.102	1.49879e-07	0.000149879	0.000000000000585847	6.04744e-08	0.000000000000153195	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	103	0.103	1.49213e-07	0.000149213	0.000000000000583113	6.14584e-08	0.00000000000015578	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	104	0.104	1.4855e-07	0.00014855	0.000000000000580374	6.24463e-08	0.00000000000015838	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	105	0.105	1.47889e-07	0.000147889	0.000000000000577621	6.3438e-08	0.000000000000160992	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	106	0.106	1.47233e-07	0.000147233	0.000000000000574868	6.44334e-08	0.000000000000163617	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	107	0.107	1.46578e-07	0.000146578	0.0000000000005721	6.54321e-08	0.000000000000166255	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	108	0.108	1.45927e-07	0.000145927	0.000000000000569328	6.64343e-08	0.000000000000168905	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	109	0.109	1.45279e-07	0.000145279	0.00000000000056655	6.74395e-08	0.000000000000171568	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	110	0.11	1.44635e-07	0.000144635	0.000000000000563763	6.84478e-08	0.000000000000174242	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	111	0.111	1.43994e-07	0.000143994	0.000000000000560972	6.94588e-08	0.000000000000176929	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	112	0.112	1.43355e-07	0.000143355	0.00000000000055817	7.04717e-08	0.000000000000179627	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	113	0.113	1.42721e-07	0.000142721	0.000000000000555364	7.14855e-08	0.000000000000182336	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	114	0.114	1.4209e-07	0.00014209	0.000000000000552549	7.2496e-08	0.000000000000185056	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	115	0.115	1.41462e-07	0.000141462	0.000000000000549728	7.34932e-08	0.000000000000187785	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	116	0.116	1.40839e-07	0.000140839	0.000000000000546903	7.4449e-08	0.000000000000190522	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	117	0.117	1.40218e-07	0.000140218	0.000000000000544068	7.53603e-08	0.000000000000193277	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	118	0.118	1.39602e-07	0.000139602	0.000000000000541228	5.14751e-08	0.000000000000195013	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	119	0.119	1.38985e-07	0.000138985	0.000000000000538379	5.2173e-08	0.000000000000197774	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	120	0.12	1.38367e-07	0.000138367	0.000000000000535525	5.28728e-08	0.000000000000200546	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	121	0.121	1.37747e-07	0.000137747	0.000000000000532666	5.35745e-08	0.000000000000203327	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	122	0.122	1.37126e-07	0.000137126	0.000000000000529802	5.4278e-08	0.000000000000206118	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	123	0.123	1.36503e-07	0.000136503	0.000000000000526929	5.49831e-08	0.000000000000208919	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	124	0.124	1.35879e-07	0.000135879	0.000000000000524051	5.56899e-08	0.000000000000211728	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	125	0.125	1.35253e-07	0.000135253	0.000000000000521168	5.63984e-08	0.000000000000214548	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	126	0.126	1.34626e-07	0.000134626	0.000000000000518281	5.71084e-08	0.000000000000217375	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	127	0.127	1.33998e-07	0.000133998	0.000000000000515389	5.782e-08	0.000000000000220213	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	128	0.128	1.33367e-07	0.000133367	0.000000000000512487	5.8533e-08	0.000000000000223058	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	129	0.129	1.32735e-07	0.000132735	0.000000000000509581	5.92476e-08	0.000000000000225912	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	130	0.13	1.32102e-07	0.000132102	0.000000000000506673	5.99634e-08	0.000000000000228774	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	131	0.131	1.31468e-07	0.000131468	0.000000000000503758	6.06806e-08	0.000000000000231644	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	132	0.132	1.30832e-07	0.000130832	0.000000000000500837	6.1399e-08	0.000000000000234522	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	133	0.133	1.30195e-07	0.000130195	0.000000000000497913	6.21188e-08	0.000000000000237408	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	134	0.134	1.29556e-07	0.000129556	0.000000000000494983	6.28398e-08	0.000000000000240301	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	135	0.135	1.28916e-07	0.000128916	0.000000000000492049	6.35618e-08	0.000000000000243201	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	136	0.136	1.28275e-07	0.000128275	0.00000000000048911	6.4285e-08	0.000000000000246109	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	137	0.137	1.27632e-07	0.000127632	0.000000000000486167	6.50091e-08	0.000000000000249023	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	138	0.138	1.26988e-07	0.000126988	0.000000000000483219	6.57344e-08	0.000000000000251945	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	139	0.139	1.26343e-07	0.000126343	0.000000000000480268	6.64606e-08	0.000000000000254873	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	140	0.14	1.25696e-07	0.000125696	0.000000000000477312	6.71877e-08	0.000000000000257807	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	141	0.141	1.25049e-07	0.000125049	0.000000000000474353	6.79156e-08	0.000000000000260748	142.6836	Ru	IAEA LiveChart bin_beta Betashape
Tc-99m	beta-	142	0.142	1.244e-07	0.0001244	0.00000000000047139	6.86444e-08	0.000000000000263694	142.6836	Ru	IAEA LiveChart bin_beta Betashape
