Energy (keV),Fluence (normalized)
0.0,0.0
0.5,0.0
1.0,0.0
1.5,4.001038682721765e-204
2.0,0.0
2.5,0.0
3.0,1.193937944275473e-216
3.5,8.732848397595907e-145
4.0,1.2519740775782805e-100
4.5,4.0179994642770477e-72
5.0,6.993828286802625e-53
5.5,1.9658741877635043e-39
6.0,9.682325232801024e-30
6.5,1.3521572527154573e-22
7.0,5.773609715296471e-17
7.5,4.559937576187145e-13
8.0,1.1671064718591662e-08
8.5,3.293573260510606e-07
9.0,3.088272618683561e-05
9.5,0.01624752768140004
10.0,0.03987903919088459
10.5,0.2212815350402544
11.0,4.40874890951072
11.5,15.074065901777915
12.0,46.24233088176671
12.5,158.5473937202646
13.0,512.6876635114801
13.5,1441.781973885651
14.0,3543.642769445772
14.5,7771.1820007644255
15.0,15457.223364171734
15.5,28278.41013009944
16.0,48179.77952932041
16.5,77220.5420008545
17.0,117377.75117274956
17.5,170203.4672137978
18.0,236726.19764906142
18.5,317763.6486293357
19.0,413701.8065161135
19.5,524262.92163913127
20.0,648198.1359418662
20.5,783693.7664684328
21.0,929540.8444343448
21.5,1084468.724608395
22.0,1245715.6092935642
22.5,1410341.1016949636
23.0,1577252.3040959663
23.5,1745581.3579979874
24.0,1913707.001329239
24.5,2080130.8333513308
25.0,2242432.709427014
25.5,2398396.41221601
26.0,2548069.2130261674
26.5,2691684.634634682
27.0,2828627.513217301
27.5,2955774.2964797514
28.0,3071902.6253533303
28.5,3179487.894509533
29.0,3279293.962007428
29.5,3371312.8561367462
30.0,3453871.937737242
30.5,3525470.5674959193
31.0,3588225.123773275
31.5,3644006.474856483
32.0,3693034.5339691197
32.5,3735609.076292854
33.0,3771871.743035369
33.5,3802129.2145387293
34.0,3826684.18866351
34.5,3845757.330674851
35.0,3857903.2414045874
35.5,3861766.50288117
36.0,3859667.326931582
36.5,3853754.178279761
37.0,3844206.5991389216
37.5,3831281.805389418
38.0,3815199.301429038
38.5,3796148.9969999813
39.0,3774375.975296497
39.5,3750046.9339625393
40.0,3722196.9369905097
40.5,3689999.9815974543
41.0,3654931.081659889
41.5,3618338.8287388324
42.0,3580337.009075187
42.5,3541052.9828170533
43.0,3500603.577314849
43.5,3459079.164264814
44.0,3416599.8926661354
44.5,3373251.984537207
45.0,3328387.79563217
45.5,3281457.6492318353
46.0,3233373.807033858
46.5,3184947.044209909
47.0,3136208.072172425
47.5,3087202.023209942
48.0,3038003.8758040727
48.5,2988642.7753975997
49.0,2939129.1848196187
49.5,2889506.9103528745
50.0,2839414.285639537
50.5,2788525.594281159
51.0,2737323.3588109007
51.5,2686249.76500791
52.0,2635374.2011376484
52.5,2584691.2232758054
53.0,2534168.75726005
53.5,2483856.1454382855
54.0,2433737.949971612
54.5,2383825.5829561558
55.0,2333926.8024820485
55.5,2283778.7638802645
56.0,2233697.4745336827
56.5,2183960.8515689964
57.0,2134479.270083534
57.5,2775980.0918921973
58.0,2727133.841064015
58.5,1987861.199207431
59.0,3169429.88460047
59.5,3121410.540536698
60.0,1843656.2229649478
60.5,1795846.2608519434
61.0,1748151.4399488035
61.5,1700744.9915655337
62.0,1653650.5879022956
62.5,1606754.5800540464
63.0,1560145.2785639274
63.5,1513761.3601346328
64.0,1467565.6884903745
64.5,1421641.6339347851
65.0,1375707.1442732257
65.5,1329821.6980008543
66.0,1284163.4879999245
66.5,1386840.9821486527
67.0,1629216.241884282
67.5,1443074.5033194749
68.0,1110203.9991024267
68.5,1057909.3684508293
69.0,1116834.2396478537
69.5,1063324.553896692
70.0,890934.9848456928
70.5,832945.8727876915
71.0,791920.3747868182
71.5,750739.2766425153
72.0,709386.164103791
72.5,667864.2849796602
73.0,626093.5270877071
73.5,584090.7513194784
74.0,541817.1119695095
74.5,499230.56880656304
75.0,456334.3275305804
75.5,412898.2056188278
76.0,368633.53289532167
76.5,327393.7761745506
77.0,285734.9532654311
77.5,242864.19213892284
78.0,197665.12952921592
78.5,166779.43613155343
79.0,135590.78727364473
79.5,102713.4686463275
80.0,66492.60420458028
80.5,53455.67770600586
81.0,40308.54468409882
81.5,26200.466045377714
82.0,10196.993706044537
82.5,7866.636541421542
83.0,5517.460661201269
83.5,2959.885687758144
84.0,0.0
84.5,0.0
85.0,0.0
85.5,0.0
86.0,0.0
86.5,0.0
87.0,0.0
87.5,0.0
88.0,0.0
88.5,0.0
89.0,0.0
89.5,0.0
90.0,0.0
90.5,0.0
91.0,0.0
91.5,0.0
92.0,0.0
92.5,0.0
93.0,0.0
93.5,0.0
94.0,0.0
94.5,0.0
95.0,0.0
95.5,0.0
96.0,0.0
96.5,0.0
97.0,0.0
97.5,0.0
98.0,0.0
98.5,0.0
99.0,0.0
99.5,0.0
100.0,0.0
100.5,0.0
