Energy (keV),Fluence (normalized)
0.0,0.0
0.5,0.0
1.0,0.0
1.5,1.00499342119563e-58
2.0,1.0570168664068336e-288
2.5,9.200108187683862e-169
3.0,6.832127560214901e-106
3.5,6.459477676872765e-70
4.0,8.57610368803561e-48
4.5,1.6954020792810474e-33
5.0,7.756672962047626e-24
5.5,4.4842439520798496e-17
6.0,3.431646987695692e-12
6.5,1.4165557635709727e-08
7.0,1.3507982081581883e-05
7.5,0.0012184665717042758
8.0,0.6204461613805364
8.5,6.958963047007493
9.0,14.270176387740626
9.5,1084.3851636673212
10.0,2095.334251399078
10.5,1130.8465729894247
11.0,5643.733156387115
11.5,18756.482852709276
12.0,16956.249087718963
12.5,29631.375379443598
13.0,55505.808979668334
13.5,97042.5679023842
14.0,157763.50769205648
14.5,241209.9698929505
15.0,350021.84468195646
15.5,485452.1957263643
16.0,647993.9874490396
16.5,836812.4281192905
17.0,1050040.8403804314
17.5,1284755.0552892054
18.0,1536176.8723296437
18.5,1801894.2053948354
19.0,2078291.7277920742
19.5,2361625.6005269764
20.0,2647820.7897739615
20.5,2931264.944002471
21.0,3211111.4357320783
21.5,3485123.4012794965
22.0,3750408.417837889
22.5,4001927.9282521172
23.0,4241400.260072648
23.5,4468388.7575493
24.0,4681934.6693328535
24.5,4881534.956186591
25.0,5066231.515540628
25.5,5233125.073972954
26.0,5385255.637833163
26.5,5523288.691949435
27.0,5647513.461249963
27.5,5756284.907681982
28.0,5847909.295402964
28.5,5927078.327380064
29.0,5994738.148662284
29.5,6051429.416157214
30.0,6097080.707659585
30.5,6128560.773073546
31.0,6150664.220543796
31.5,6164476.758548831
32.0,6170726.106699007
32.5,6169757.971309096
33.0,6162160.13157985
33.5,6148334.428537593
34.0,6128835.360146402
34.5,6103983.385157161
35.0,6073625.936483886
35.5,6034695.749691054
36.0,5991486.746976735
36.5,5944955.83066892
37.0,5895437.922932232
37.5,5843205.873591103
38.0,5788500.463215613
38.5,5731608.766913274
39.0,5672757.130056743
39.5,5612112.926661243
40.0,5549471.626475623
40.5,5482964.388661455
41.0,5415116.780260751
41.5,5346493.020637914
42.0,5277216.88849922
42.5,5207412.216324092
43.0,5137091.801985466
43.5,5066501.984935513
44.0,4995628.572646153
44.5,4924644.00839633
45.0,4853308.512184635
45.5,4780435.777009913
46.0,4707529.351128363
46.5,4634858.408588041
47.0,4562459.638517324
47.5,4490480.940883435
48.0,4418754.71500699
48.5,4347598.760293662
49.0,4276746.665526377
49.5,4206459.0901468145
50.0,4136472.575166793
50.5,4066079.874396398
51.0,3996169.1619389816
51.5,3926882.7919048825
52.0,3858148.8024685313
52.5,3790193.9717063685
53.0,3722719.356138504
53.5,3656098.7527107177
54.0,3590020.738477008
54.5,3524666.877407367
55.0,3459824.8352362025
55.5,3395090.8210301367
56.0,3330974.6322614383
56.5,3267543.7825020147
57.0,3204750.287536632
57.5,4350243.492213948
58.0,6660595.0799382115
58.5,3020480.5512587074
59.0,5102877.72946115
59.5,9250999.830420779
60.0,2842013.7055590963
60.5,2783383.8177257795
61.0,2725473.8690832835
61.5,2668074.991991278
62.0,2611331.972062922
62.5,2555160.8110955437
63.0,2499601.1155815944
63.5,2444573.9736249894
64.0,2390121.4227686757
64.5,2336104.3457697234
65.0,2282624.1341247447
65.5,2229406.830462668
66.0,2176760.4933731845
66.5,2379593.1346198707
67.0,4293631.655474786
67.5,2553573.183274264
68.0,1983396.2763565497
68.5,1920444.8537602376
69.0,2165389.0548911183
69.5,2235486.686406248
70.0,1653178.0594280532
70.5,1583027.7091215265
71.0,1541309.4128111186
71.5,1499757.46462749
72.0,1458252.3971656933
72.5,1416924.026890019
73.0,1375575.5768653422
73.5,1334344.9448645036
74.0,1293068.8547672266
74.5,1251819.7202436728
75.0,1210606.5035325156
75.5,1169385.8516229065
76.0,1127953.2538631307
76.5,1086047.8821155042
77.0,1047682.46880792
77.5,1009405.4608826626
78.0,971009.4147832926
78.5,932635.4864563722
79.0,894190.3325860209
79.5,855673.6991705203
80.0,817109.9020857187
80.5,778404.7872673207
81.0,739626.0095420225
81.5,700775.9360913619
82.0,661898.6393401561
82.5,622869.7610763118
83.0,581967.8633471647
83.5,546742.3037818521
84.0,519286.5175263377
84.5,491797.09327799216
85.0,464289.50393550674
85.5,436716.55267577706
86.0,409102.12614086625
86.5,381400.3327236127
87.0,353639.8304769666
87.5,325789.4150003889
88.0,297896.74767597165
88.5,269905.20567033585
89.0,241778.54642038012
89.5,212064.9373124738
90.0,179552.86763198493
90.5,168510.9270630448
91.0,157484.30005176252
91.5,146438.53260481343
92.0,135395.53434125517
92.5,124327.23970595388
93.0,113249.2215094803
93.5,102139.68520592026
94.0,91034.97181971917
94.5,79872.46712137076
95.0,68793.18289769854
95.5,57505.58427012414
96.0,46181.46334561491
96.5,33199.71280274872
97.0,25138.44096532333
97.5,23260.59329301144
98.0,21383.73948856717
98.5,19507.659928390953
99.0,17630.858995120994
99.5,15753.382241246947
100.0,13874.420661959415
100.5,11997.070403689926
