Energy (keV),Fluence (normalized)
0.0,0.0
0.5,0.0
1.0,0.0
1.5,4.0179933239145717e-169
2.0,0.0
2.5,2.3905338402516576e-284
3.0,1.371309186512987e-179
3.5,1.1115115349484847e-119
4.0,7.262006180930312e-83
4.5,4.273498537869275e-59
5.0,4.745776945195479e-43
5.5,7.818717357000212e-32
6.0,9.489141993326773e-24
6.5,8.632853678928229e-18
7.0,4.597626633107316e-13
7.5,7.605448632782039e-10
8.0,5.388502296696582e-06
8.5,6.25012541550636e-05
9.0,0.0025709419937110923
9.5,0.6735347518265158
10.0,1.2977207775055262
10.5,4.14704136818377
11.0,54.244142964951045
11.5,150.69573142204297
12.0,355.9431891981896
12.5,973.6735072710059
13.0,2592.069885008434
13.5,6163.007141815335
14.0,13072.95643558545
14.5,25177.746732269003
15.0,44645.401268108835
15.5,73756.3582490804
16.0,114726.98620946519
16.5,169470.01317913743
17.0,239375.24495740826
17.5,324942.5800076728
18.0,425862.20983005123
18.5,541657.0565141668
19.0,671423.4620227249
19.5,813580.0193975512
20.0,965624.8265712447
20.5,1124736.1058217795
21.0,1289157.9669730766
21.5,1457275.7002584187
22.0,1626014.655707895
22.5,1792391.9432500466
23.0,1955585.6597345935
23.5,2115056.4231539518
24.0,2269516.191116159
24.5,2417883.917680829
25.0,2558287.908410864
25.5,2689051.3864985085
26.0,2810698.5981728975
26.5,2923928.2105295933
27.0,3028521.194330587
27.5,3122073.258312847
28.0,3203931.3262009984
28.5,3276657.71019949
29.0,3341216.5466680033
29.5,3397805.3897076687
30.0,3445316.565907974
30.5,3482791.1235743063
31.0,3512125.090186142
31.5,3535108.270704606
32.0,3552093.5162283564
32.5,3563370.2089037453
33.0,3569269.9479776816
33.5,3570127.9440988344
34.0,3566235.5593912597
34.5,3557905.8830706147
35.0,3544093.0861035963
35.5,3523877.50602581
36.0,3499112.010890492
36.5,3471502.8946709232
37.0,3441265.7625625706
37.5,3408586.6135268346
38.0,3373647.6620826824
38.5,3336660.537300351
39.0,3297839.1068171216
39.5,3257296.8908223365
40.0,3214333.859072007
40.5,3168440.7745137946
41.0,3120725.7838115157
41.5,3072088.004450928
42.0,3022659.241063776
42.5,2972592.779532057
43.0,2921892.858418026
43.5,2870601.915984964
44.0,2818872.9181472766
44.5,2766779.490072179
45.0,2713803.5643988154
45.5,2659626.2164048837
46.0,2604899.9390366594
46.5,2550098.1084634415
47.0,2495299.0498447753
47.5,2440556.116426956
48.0,2385776.8923363104
48.5,2330997.363229451
49.0,2276375.694554152
49.5,2221842.628087916
50.0,2167082.1271259747
50.5,2111939.4218041995
51.0,2056741.5633753068
51.5,2001779.4078811316
52.0,1947018.3334046698
52.5,1892467.9290491377
53.0,1838156.5733682676
53.5,1784024.5148330496
54.0,1730034.2204832262
54.5,1676255.233530769
55.0,1622556.1054667304
55.5,1568702.9501928748
56.0,1514873.5847364587
56.5,1461285.49111827
57.0,1407854.772897769
57.5,1416609.2929286442
58.0,1363373.5392116674
58.5,1248158.504621075
59.0,1305518.2859369726
59.5,1252460.9509436146
60.0,1088944.4647886786
60.5,1035698.7682617258
61.0,982362.8677152088
61.5,929019.2972365359
62.0,875546.8678698528
62.5,821723.2386325874
63.0,767196.6998661241
63.5,716918.2767328246
64.0,666364.8480226834
64.5,615560.7951290829
65.0,564517.5624087013
65.5,513110.1099570366
66.0,460572.5272527858
66.5,418455.6632985833
67.0,407027.29961143417
67.5,357118.3851030159
68.0,293819.8595646725
68.5,255336.5646697981
69.0,226476.4440862109
69.5,185781.38660275575
70.0,130707.3464116833
70.5,114595.10714334976
71.0,99844.84229388087
71.5,84892.72653719725
72.0,69797.95764203856
72.5,54484.435842115134
73.0,38147.40671239145
73.5,19499.8851509515
74.0,16916.495299706847
74.5,14308.532259190864
75.0,11669.007083481327
75.5,9004.748541145695
76.0,6307.930471074371
76.5,3391.212128933802
77.0,0.0
77.5,0.0
78.0,0.0
78.5,0.0
79.0,0.0
79.5,0.0
80.0,0.0
80.5,0.0
81.0,0.0
81.5,0.0
82.0,0.0
82.5,0.0
83.0,0.0
83.5,0.0
84.0,0.0
84.5,0.0
85.0,0.0
85.5,0.0
86.0,0.0
86.5,0.0
87.0,0.0
87.5,0.0
88.0,0.0
88.5,0.0
89.0,0.0
89.5,0.0
90.0,0.0
90.5,0.0
91.0,0.0
91.5,0.0
92.0,0.0
92.5,0.0
93.0,0.0
93.5,0.0
94.0,0.0
94.5,0.0
95.0,0.0
95.5,0.0
96.0,0.0
96.5,0.0
97.0,0.0
97.5,0.0
98.0,0.0
98.5,0.0
99.0,0.0
99.5,0.0
100.0,0.0
100.5,0.0
