Energy (keV),Fluence (normalized)
0.0,0.0
0.5,0.0
1.0,0.0
1.5,3.5178978250385134e-123
2.0,0.0
2.5,0.0
3.0,6.618212083385308e-217
3.5,4.899006818868464e-145
4.0,7.054381421432958e-101
4.5,2.2621758815688473e-72
5.0,3.9223238837659295e-53
5.5,1.0969989591142276e-39
6.0,5.3642929648679336e-30
6.5,7.425880457524285e-23
7.0,3.076914390259012e-17
7.5,2.5333809645743487e-13
8.0,5.922877484619579e-09
8.5,4.1787111617491553e-07
9.0,1.9155213095211475e-05
9.5,0.009660938039288141
10.0,0.05076735993976078
10.5,0.17486465629495762
11.0,2.9189647927544695
11.5,19.24531202371422
12.0,43.22271733120522
12.5,151.82661051449844
13.0,502.65837415469946
13.5,1425.629162025632
14.0,3519.350337545848
14.5,7725.673605059376
15.0,15354.217989441715
15.5,28001.584730607694
16.0,47515.07311371399
16.5,75786.91103569117
17.0,114580.34109521155
17.5,165285.2059034658
18.0,228421.20465360527
18.5,304755.8705611759
19.0,394354.63738049765
19.5,496730.9724425179
20.0,610727.1525640846
20.5,733803.0411030309
21.0,865364.0554529396
21.5,1003947.5089735652
22.0,1147353.8984942592
22.5,1291621.9901956045
23.0,1437014.5453553933
23.5,1582395.0418203683
24.0,1726353.2827702397
24.5,1867613.6214472002
25.0,2004572.1834454853
25.5,2133915.281057229
26.0,2257233.239596369
26.5,2374376.8030605973
27.0,2484861.2972779586
27.5,2586511.19539254
28.0,2677132.7877536435
28.5,2760175.1725740163
29.0,2836069.173236249
29.5,2904831.5592563846
30.0,2965806.722669154
30.5,3015643.2150653712
31.0,3058393.6495596436
31.5,3095023.272154501
32.0,3125755.076132245
32.5,3150823.5267554377
33.0,3170507.52634097
33.5,3185039.435657443
34.0,3194698.0059421225
34.5,3199737.6331500877
35.0,3199661.485112556
35.5,3191265.701250496
36.0,3178683.0050249095
36.5,3162961.200313898
37.0,3144310.8615221926
37.5,3122934.717044297
38.0,3098973.74230832
38.5,3072649.0735841207
39.0,3044193.8230205975
39.5,3013690.514446112
40.0,2980787.839898438
40.5,2943581.2280987343
41.0,2904646.1706969608
41.5,2864479.6850795364
42.0,2823253.4000084368
42.5,2781142.8660837947
43.0,2738131.1461021123
43.5,2694239.92634483
44.0,2649724.081978372
44.5,2604591.8621411133
45.0,2558514.731503918
45.5,2510364.0302496883
46.0,2461740.7071955786
46.5,2412817.7671588105
47.0,2363662.8229937567
47.5,2314363.6237628576
48.0,2264966.532531478
48.5,2215346.43388834
49.0,2165701.222399234
49.5,2116000.56339945
50.0,2066046.6485647385
50.5,2015240.697316267
51.0,1964362.9014462647
51.5,1913586.8866862613
52.0,1862907.4200805058
52.5,1812351.5008305078
53.0,1761886.989581219
53.5,1711512.8213984345
54.0,1661254.6305075446
54.5,1611084.1706954981
55.0,1560872.9471883127
55.5,1510325.373664668
56.0,1459825.2697437534
56.5,1409415.6608500737
57.0,1359097.2636573866
57.5,1318163.6158471322
58.0,1306348.1553383085
58.5,1208625.1544327512
59.0,1175064.5597507397
59.5,1193249.0928318645
60.0,1058415.3043660386
60.5,1008083.6487175081
61.0,957708.7515269973
61.5,907323.5984214157
62.0,856860.9391002966
62.5,806248.6380318111
63.0,755517.9764756785
63.5,704642.2417908862
64.0,653500.8153467571
64.5,602007.8328830624
65.0,550201.9307879556
65.5,498031.3647173731
66.0,445188.7242801597
66.5,393333.741684647
67.0,371138.81346270716
67.5,294839.77803557744
68.0,237842.87097752487
68.5,190931.05737939294
69.0,156579.33794721213
69.5,119124.63584499666
70.0,69151.97293708556
70.5,53707.01460344362
71.0,38086.894099465855
71.5,20774.935278124427
72.0,9247.371742801555
72.5,6476.13027580425
73.0,3486.163876901846
73.5,0.0
74.0,0.0
74.5,0.0
75.0,0.0
75.5,0.0
76.0,0.0
76.5,0.0
77.0,0.0
77.5,0.0
78.0,0.0
78.5,0.0
79.0,0.0
79.5,0.0
80.0,0.0
80.5,0.0
81.0,0.0
81.5,0.0
82.0,0.0
82.5,0.0
83.0,0.0
83.5,0.0
84.0,0.0
84.5,0.0
85.0,0.0
85.5,0.0
86.0,0.0
86.5,0.0
87.0,0.0
87.5,0.0
88.0,0.0
88.5,0.0
89.0,0.0
89.5,0.0
90.0,0.0
90.5,0.0
91.0,0.0
91.5,0.0
92.0,0.0
92.5,0.0
93.0,0.0
93.5,0.0
94.0,0.0
94.5,0.0
95.0,0.0
95.5,0.0
96.0,0.0
96.5,0.0
97.0,0.0
97.5,0.0
98.0,0.0
98.5,0.0
99.0,0.0
99.5,0.0
100.0,0.0
100.5,0.0
