Energy (keV),Fluence (normalized)
0.0,0.0
0.5,0.0
1.0,0.0
1.5,3.0528731133725286e-123
2.0,0.0
2.5,0.0
3.0,5.730427533901561e-217
3.5,4.1280878841491345e-145
4.0,5.872717313405539e-101
4.5,1.878571215843354e-72
5.0,3.272597199979615e-53
5.5,9.239328311064663e-40
6.0,4.579044413180391e-30
6.5,6.447323197114636e-23
7.0,2.833912691546313e-17
7.5,2.297347804443618e-13
8.0,5.963516317222161e-09
8.5,4.1343113524296e-07
9.0,1.854474149075569e-05
9.5,0.01040588710020622
10.0,0.05279044675115848
10.5,0.15793091497798917
11.0,2.7747608646261406
11.5,18.288109810398335
12.0,38.92165397545515
12.5,136.2407761768866
13.0,456.4151102342453
13.5,1311.8974958740987
14.0,3283.2215577790766
14.5,7308.675636834044
15.0,14731.980233949596
15.5,27250.92800090451
16.0,46900.07883938363
16.5,75860.61971607117
17.0,116288.04464740818
17.5,170044.20365870255
18.0,238163.7412551281
18.5,321945.6734599207
19.0,421950.037586616
19.5,538130.371380393
20.0,669651.9029748088
20.5,814098.5370961588
21.0,971029.8086675373
21.5,1139001.944493045
22.0,1315659.0713970854
22.5,1496488.5306735688
23.0,1681710.3733597812
23.5,1869874.3978747828
24.0,2059215.3290496236
24.5,2248000.450373335
25.0,2434166.7938904394
25.5,2613444.063814269
26.0,2787489.2773978566
26.5,2955877.369645874
27.0,3117782.039255962
27.5,3270183.057499536
28.0,3410036.803244542
28.5,3541450.4087065808
29.0,3664746.0134346876
29.5,3779766.7850907794
30.0,3885485.1593002775
30.5,3977347.2186229867
31.0,4060389.3553868555
31.5,4135799.656575452
32.0,4203667.469844478
32.5,4264300.637496316
33.0,4317816.521166017
33.5,4364567.428339944
34.0,4404743.328819073
34.5,4438675.247926949
35.0,4465603.85099442
35.5,4480840.275035739
36.0,4490236.785945778
36.5,4495011.201743153
37.0,4495553.787449835
37.5,4491997.5428408375
38.0,4484666.984143399
38.5,4473746.443702561
39.0,4459491.599062553
39.5,4442115.531272205
40.0,4421108.8931521755
40.5,4393475.580456831
41.0,4362953.76434775
41.5,4330519.00581573
42.0,4296233.221438422
42.5,4260293.547903266
43.0,4222789.412319605
43.5,4183861.4504590197
44.0,4143650.8563557663
44.5,4102255.9989880496
45.0,4059358.7183416127
45.5,4012982.241695401
46.0,3965500.024552509
46.5,3917487.9056481505
47.0,3868920.2975510648
47.5,3819991.2118803742
48.0,3770618.919645244
48.5,3721004.1278218864
49.0,3671093.897889211
49.5,3620959.833614922
50.0,3570482.100002406
50.5,3518184.6292551723
51.0,3465859.4307466513
51.5,3413434.2031782945
52.0,3361293.2557196827
52.5,3309184.5822332017
53.0,3257280.4541582256
53.5,3205603.5525588747
54.0,3154004.307058673
54.5,3102793.811632267
55.0,3051471.481417138
55.5,2999691.8596459995
56.0,2947916.062048337
56.5,2896602.9742217856
57.0,2845589.060537269
57.5,3825742.636205947
58.0,5783316.578095285
58.5,2694610.643063619
59.0,4481612.904424281
59.5,8009015.269317994
60.0,2546838.6860855594
60.5,2497696.4136156905
61.0,2448889.6128070434
61.5,2400468.3819729285
62.0,2352452.2935390007
62.5,2304827.0719384863
63.0,2257586.40122772
63.5,2210718.090054406
64.0,2164193.139839833
64.5,2118033.354078655
65.0,2072039.0222014647
65.5,2026149.4814330956
66.0,1980595.6562916555
66.5,2157430.7197670047
67.0,3812810.5633245055
67.5,2309346.6298648734
68.0,1812881.5660517814
68.5,1758084.981672745
69.0,1971237.0803791352
69.5,2031152.7263094583
70.0,1523538.1761766458
70.5,1462025.1786578405
71.0,1425473.9058233406
71.5,1388968.9245792239
72.0,1352606.1464867925
72.5,1316224.238581801
73.0,1279967.5717175365
73.5,1243674.3187969576
74.0,1207427.3652749357
74.5,1171155.364642982
75.0,1134870.0260507148
75.5,1098616.3420455954
76.0,1062294.892667582
76.5,1025991.8473580892
77.0,989591.4779539483
77.5,953185.4892589815
78.0,916691.4205743216
78.5,880138.4428609826
79.0,843527.8441535597
79.5,806825.9552736358
80.0,770049.7596006882
80.5,733086.0021630015
81.0,696018.998305594
81.5,658889.4332398897
82.0,621625.9991040864
82.5,584306.3446973815
83.0,546836.1079996284
83.5,509243.5456490292
84.0,471540.436126745
84.5,433653.6935094605
85.0,395467.41332227044
85.5,356708.83257693454
86.0,320691.62355854065
86.5,284559.2011729226
87.0,248164.9310150351
87.5,209989.6364838977
88.0,176717.83716082634
88.5,150011.67078129196
89.0,123098.24999175103
89.5,94691.29581659209
90.0,63618.094444779665
90.5,52483.8155020481
91.0,41230.13707208837
91.5,29883.920748358538
92.0,16910.994600503935
92.5,8734.607314858591
93.0,6741.049917810885
93.5,4723.2093924309165
94.0,2521.7400384680595
94.5,0.0
95.0,0.0
95.5,0.0
96.0,0.0
96.5,0.0
97.0,0.0
97.5,0.0
98.0,0.0
98.5,0.0
99.0,0.0
99.5,0.0
100.0,0.0
100.5,0.0
