Energy (keV),Fluence (normalized)
0.0,0.0
0.5,0.0
1.0,0.0
1.5,3.808189284261828e-169
2.0,0.0
2.5,2.2549945510686832e-284
3.0,1.2663468034987396e-179
3.5,1.0140953673522864e-119
4.0,6.593063097730482e-83
4.5,3.8821116165144165e-59
5.0,4.326643127320086e-43
5.5,7.165716320992297e-32
6.0,8.762655885406595e-24
6.5,8.05119527292132e-18
7.0,4.429577229528251e-13
7.5,7.267390330692745e-10
8.0,5.454884726423598e-06
8.5,6.179677615372114e-05
9.0,0.0025501866077819765
9.5,0.7072631540020479
10.0,1.319691198606459
10.5,3.971585369179694
11.0,53.494178688473156
11.5,146.19850031661304
12.0,339.32236992250995
12.5,926.7057122786283
13.0,2481.9856801243964
13.5,5945.67095780015
14.0,12708.379449880907
14.5,24665.030792787336
15.0,44076.804044832876
15.5,73383.32040091969
16.0,115027.6264557819
16.5,171207.20669134276
17.0,243634.7327790483
17.5,333144.8956699481
18.0,439739.9081909131
18.5,563217.9030472148
19.0,702892.4111349965
19.5,857324.222257789
20.0,1024048.8811418476
20.5,1200182.521582158
21.0,1383892.7807288154
21.5,1573447.524784941
22.0,1765500.02379268
22.5,1956739.05659092
23.0,2146138.1614708425
23.5,2332970.706700533
24.0,2515693.3489053342
24.5,2692961.175873063
25.0,2862524.1598876836
25.5,3022379.2114360477
26.0,3172945.9052873426
26.5,3314813.6037278995
27.0,3447615.9594273274
27.5,3568507.7347371187
28.0,3676568.1958013247
28.5,3774567.1889415043
29.0,3863527.39937458
29.5,3943626.188598339
30.0,4013447.3233274096
30.5,4071745.408558196
31.0,4120727.506047493
31.5,4162351.9790153266
32.0,4196948.083615451
32.5,4224914.945203862
33.0,4246485.995608037
33.5,4262043.746682804
34.0,4271960.857353617
34.5,4276505.253248843
35.0,4274424.470512294
35.5,4264544.939342146
36.0,4249068.282361039
36.5,4230028.660183817
37.0,4207647.387522804
37.5,4182175.0530668437
38.0,4153840.560220555
38.5,4122879.1972723235
39.0,4089487.59639364
39.5,4053849.4869830953
40.0,4015160.000944315
40.5,3972652.3309654463
41.0,3927682.305015378
41.5,3881491.2898807093
42.0,3834177.0678225188
42.5,3785882.061873606
43.0,3736718.741975437
43.5,3686710.934279828
44.0,3636015.24294022
44.5,3584757.096757532
45.0,3532279.96447029
45.5,3478172.3125874326
46.0,3423227.388635949
46.5,3368088.5067529683
47.0,3312912.928320818
47.5,3257657.804548976
48.0,3202375.5023048073
48.5,3147187.0598106915
49.0,3091961.872663498
49.5,3036828.994240305
50.0,2981479.674939012
50.5,2925524.4647485046
51.0,2869524.6315135723
51.5,2813777.1218767376
52.0,2758319.000137242
52.5,2703216.222748405
53.0,2648385.8435636293
53.5,2593923.6364773465
54.0,2539777.6678338223
54.5,2485949.365817622
55.0,2432252.4765671627
55.5,2378447.9034017464
56.0,2324903.137833652
56.5,2271761.1423085183
57.0,2218946.705092384
57.5,2927344.349966137
58.0,2875284.9595216806
58.5,2062761.7625506038
59.0,3364329.536000729
59.5,3313338.510046934
60.0,1909669.7107758438
60.5,1859062.530118788
61.0,1808647.415203327
61.5,1758557.7220771753
62.0,1708836.5743161754
62.5,1659382.913174882
63.0,1610250.5198952681
63.5,1561396.517085199
64.0,1512755.3036092373
64.5,1464405.6581893598
65.0,1416134.8307301034
65.5,1367944.413625946
66.0,1320008.2906609548
66.5,1434484.1389177954
67.0,1701745.6339616252
67.5,1500047.0624544346
68.0,1137855.0115210128
68.5,1082655.4751908763
69.0,1149085.7440513952
69.5,1093303.6837401742
70.0,907481.8662945953
70.5,845955.8476921692
71.0,802870.0290809347
71.5,759377.3740446825
72.0,715228.0775302327
72.5,674599.5116730703
73.0,633698.7491020558
73.5,592605.0974849004
74.0,551247.142570354
74.5,509611.0759426088
75.0,467692.9757157233
75.5,424631.28712353576
76.0,379195.2602717765
76.5,349013.0655127293
77.0,318597.835590038
77.5,287935.250277961
78.0,257046.68775833645
78.5,225959.69781021032
79.0,194611.92643139683
79.5,161605.876039799
80.0,125187.96781554834
80.5,112612.72009847026
81.0,99958.204092134
81.5,87212.40355509946
82.0,74379.18135312198
82.5,61485.643825151295
83.0,48500.2797597453
83.5,34547.87998865535
84.0,18737.95855625006
84.5,16534.400680204326
85.0,14318.893619168315
85.5,12090.836185957378
86.0,9849.12526159757
86.5,7598.856772798578
87.0,5330.92283010881
87.5,2854.760608603764
88.0,0.0
88.5,0.0
89.0,0.0
89.5,0.0
90.0,0.0
90.5,0.0
91.0,0.0
91.5,0.0
92.0,0.0
92.5,0.0
93.0,0.0
93.5,0.0
94.0,0.0
94.5,0.0
95.0,0.0
95.5,0.0
96.0,0.0
96.5,0.0
97.0,0.0
97.5,0.0
98.0,0.0
98.5,0.0
99.0,0.0
99.5,0.0
100.0,0.0
100.5,0.0
