Energy (keV),Fluence (normalized)
0.0,0.0
0.5,0.0
1.0,0.0
1.5,3.447859362453756e-99
2.0,2.0763665241961957e-288
2.5,1.8694598054136078e-168
3.0,1.4232834326301993e-105
3.5,1.366074807160466e-69
4.0,1.8268443387762596e-47
4.5,3.62136414215172e-33
5.0,1.6550242223816136e-23
5.5,9.516578442848441e-17
6.0,7.174632872035614e-12
6.5,2.8544107830007623e-08
7.0,2.6105072953066228e-05
7.5,0.0018689758378849484
8.0,1.1939159674919642
8.5,2.964601320667412
9.0,18.37657777092401
9.5,1348.801511025997
10.0,1747.550679857563
10.5,1383.6856832828898
11.0,8078.665941333154
11.5,14622.750802187142
12.0,19011.65462100401
12.5,32539.976632696107
13.0,59382.92159906464
13.5,102758.17237133131
14.0,165517.31076397316
14.5,250928.4453095209
15.0,361176.6964203965
15.5,497203.464654751
16.0,658869.6532738347
16.5,844919.3331597365
17.0,1053055.1685089958
17.5,1279706.3203060767
18.0,1520702.029124867
18.5,1772660.2606050842
19.0,2032269.823380542
19.5,2295814.156408497
20.0,2558990.3248858056
20.5,2817813.1447981815
21.0,3070339.9473805986
21.5,3315125.72413292
22.0,3549021.6210829373
22.5,3769298.086522273
23.0,3976125.812008836
23.5,4169854.9164299276
24.0,4349932.46498139
24.5,4516054.587007173
25.0,4667040.187997996
25.5,4802056.553901956
26.0,4922438.760544891
26.5,5029597.996849657
27.0,5123920.015172058
27.5,5203578.084007394
28.0,5268547.8192459745
28.5,5321880.259055157
29.0,5364942.555368367
29.5,5398302.343356098
30.0,5421252.856489266
30.5,5433223.4531329535
31.0,5436374.50064224
31.5,5432553.12281659
32.0,5422219.488833632
32.5,5405939.6456770385
33.0,5384104.2639788715
33.5,5357151.891466942
34.0,5325552.926463724
34.5,5289678.776849791
35.0,5248710.039352548
35.5,5201912.302886872
36.0,5151075.4741190635
36.5,5097756.672450061
37.0,5042171.996790339
37.5,4984612.658800182
38.0,4925237.460534607
38.5,4864270.718028462
39.0,4801955.906229093
39.5,4738405.928156123
40.0,4673102.517006026
40.5,4605603.770497865
41.0,4536810.13086109
41.5,4467604.894018285
42.0,4398133.211027357
42.5,4328433.745754698
43.0,4258637.621936048
43.5,4188799.6914969063
44.0,4118981.9516234375
44.5,4049265.388835123
45.0,3979205.8530551055
45.5,3908547.4731179024
46.0,3837788.6492264587
46.5,3767428.990705135
47.0,3697566.734080257
47.5,3628090.11986392
48.0,3559143.4456226993
48.5,3490716.1108191474
49.0,3422685.272307258
49.5,3355210.8565433505
50.0,3288016.9962477195
50.5,3220860.2411497645
51.0,3154104.3654295304
51.5,3087988.7667364096
52.0,3022501.397277385
52.5,2957689.4053193745
53.0,2893465.650989242
53.5,2829796.495809982
54.0,2766778.8353297845
54.5,2704324.933854909
55.0,2642321.864135991
55.5,2580642.8042832194
56.0,2519455.8012108454
56.5,2458915.598808199
57.0,2398860.330126344
57.5,3233197.2662240686
58.0,3174309.2740101577
58.5,2222100.9342756034
59.0,3749266.944202319
59.5,3691889.0843143957
60.0,2049910.162132818
60.5,1993342.121390442
61.0,1937138.7510228616
61.5,1881391.4690715421
62.0,1826088.1558161646
62.5,1771179.9791113439
63.0,1716657.2687879263
63.5,1662502.6739824351
64.0,1608691.4642439089
64.5,1555191.230604405
65.0,1501907.3951265367
65.5,1448815.4037348016
66.0,1395971.850731173
66.5,1531568.3378819344
67.0,1844244.8091532846
67.5,1612968.9420024033
68.0,1195209.170072942
68.5,1137704.497378253
69.0,1220908.5519616723
69.5,1163479.896714062
70.0,955674.3668004213
70.5,890751.1713171842
71.0,847079.6394653012
71.5,803269.0808310029
72.0,759262.6355536095
72.5,715134.8766287535
73.0,670743.6773547849
73.5,625260.3587788353
74.0,577326.0520905663
74.5,546188.2891644406
75.0,514967.00254282623
75.5,483623.65018073394
76.0,452089.4456401509
76.5,420418.132609602
77.0,388534.9608837563
77.5,356440.8394275558
78.0,324171.7093938357
78.5,291718.605262821
79.0,259059.1369379521
79.5,224688.41184274128
80.0,186769.74616110994
80.5,174106.03728382368
81.0,161386.76656278028
81.5,148631.70497861336
82.0,135819.3683144935
82.5,122937.05055212627
83.0,109997.32754584376
83.5,96987.87306074024
84.0,83906.22810342994
84.5,70781.0258576013
85.0,57574.724656278944
85.5,43370.46917680442
86.0,27303.79047822984
86.5,25132.66587709893
87.0,22957.787219483842
87.5,20776.223386525104
88.0,18587.91163611033
88.5,16391.26129883191
89.0,14185.77858606348
89.5,11972.888759644691
90.0,9755.859090135258
90.5,7526.6416632821865
91.0,5275.021910447218
91.5,2819.0807844398123
92.0,0.0
92.5,0.0
93.0,0.0
93.5,0.0
94.0,0.0
94.5,0.0
95.0,0.0
95.5,0.0
96.0,0.0
96.5,0.0
97.0,0.0
97.5,0.0
98.0,0.0
98.5,0.0
99.0,0.0
99.5,0.0
100.0,0.0
100.5,0.0
