Energy (keV),Fluence (normalized)
0.0,0.0
0.5,0.0
1.0,0.0
1.5,1.1565122433931012e-58
2.0,1.0920608904437993e-288
2.5,1.0141644741940229e-168
3.0,7.887631851764263e-106
3.5,7.660693024182185e-70
4.0,1.0289800832242746e-47
4.5,2.0390932171355365e-33
5.0,9.286913077325116e-24
5.5,5.318646523822111e-17
6.0,4.0150539523998915e-12
6.5,1.6296828452841583e-08
7.0,1.4687208099038564e-05
7.5,0.0013350771112672726
8.0,0.6170062543733122
8.5,6.939118732535742
9.0,14.764306324221241
9.5,1008.2003188417714
10.0,1981.2426292787513
10.5,1244.3034817217176
11.0,5977.447246107893
11.5,19615.836276194743
12.0,18766.946009154446
12.5,32976.606679576784
13.0,61077.677193341995
13.5,105359.90807433195
14.0,168949.5576607159
14.5,254724.9618146132
15.0,364456.9070086893
15.5,498364.04540210334
16.0,655917.1734677588
16.5,835314.9228184292
17.0,1033850.0131931568
17.5,1247960.134934182
18.0,1472468.7389999223
18.5,1704828.7479902452
19.0,1941577.5394955992
19.5,2179224.8376707775
20.0,2414201.9797663423
20.5,2641647.0021856776
21.0,2861301.8410318317
21.5,3071661.3077592948
22.0,3270618.9817832145
22.5,3454195.8791984096
23.0,3624639.3992028087
23.5,3781992.0885938546
24.0,3925934.0455093924
24.5,4056417.099451019
25.0,4173166.4348511174
25.5,4274096.611744404
26.0,4362081.656055713
26.5,4438088.6918032225
27.0,4502550.739808964
27.5,4554388.551154445
28.0,4592659.777591494
28.5,4621191.762032307
29.0,4640846.443086748
29.5,4652286.208319062
30.0,4655474.941782976
30.5,4648297.56232136
31.0,4634338.380488172
31.5,4614646.655671083
32.0,4589760.192084482
32.5,4560080.073258803
33.0,4525978.1482404
33.5,4487841.470009841
34.0,4446108.803082583
34.5,4401047.595738409
35.0,4352514.226391323
35.5,4298473.716932078
36.0,4241844.197618013
36.5,4183433.652757443
37.0,4123497.443298132
37.5,4062173.4529449875
38.0,3999610.9491975
38.5,3936070.9210404023
39.0,3871667.9622006533
39.5,3806503.6194901327
40.0,3740400.314077821
40.5,3672140.7806158746
41.0,3603434.744848024
41.5,3534646.0415533227
42.0,3465795.428547177
42.5,3397006.8969438653
43.0,3328312.0828955094
43.5,3259683.027587791
44.0,3191287.6417730637
44.5,3123110.172171407
45.0,3054951.0923089706
45.5,2986217.476600521
46.0,2917789.157985228
46.5,2849678.065276669
47.0,2781982.242399773
47.5,2714848.28049919
48.0,2648135.2817397527
48.5,2581811.6236012303
49.0,2515979.3683909103
49.5,2450625.1340895677
50.0,2385628.1585777155
50.5,2320568.0970595116
51.0,2255858.922912385
51.5,2191686.2600372857
52.0,2128007.1322625764
52.5,2064760.5443920726
53.0,2002014.7728285566
53.5,1939671.8188573068
54.0,1877693.720137057
54.5,1816139.25757561
55.0,1754910.593900197
55.5,1693633.8738295182
56.0,1632685.157726443
56.5,1572137.9468120045
57.0,1511784.0043312588
57.5,1497105.1225499564
58.0,1568092.1409031027
58.5,1331965.631220936
59.0,1352848.9064086333
59.5,1524569.637607691
60.0,1156581.223112448
60.5,1101315.7512609658
61.0,1046120.0810136588
61.5,990931.6967556694
62.0,935714.184898895
62.5,880407.073475198
63.0,825047.7668200823
63.5,769676.390642342
64.0,714081.0765528026
64.5,656647.0092051572
65.0,606388.9125798651
65.5,567306.4413411134
66.0,528038.627464718
66.5,498237.92867734306
67.0,558159.0125919135
67.5,429917.2857029017
68.0,370113.94951159024
68.5,329703.48344244977
69.0,302566.5047822829
69.5,266397.221393956
70.0,194224.6520390969
70.5,178461.0252547187
71.0,163695.3133034814
71.5,148850.26719813416
72.0,133805.306349604
72.5,118646.03777098955
73.0,103361.00692537373
73.5,87861.66148005408
74.0,72322.74079880104
74.5,56460.41852735896
75.0,38824.90910848379
75.5,27296.632105047218
76.0,24751.92131273044
76.5,22182.406429941486
77.0,19597.83707931828
77.5,16986.54631033115
78.0,14351.5197756955
78.5,11694.575624554414
79.0,9019.019715011356
79.5,6320.218038370146
80.0,3393.579493787171
80.5,0.0
81.0,0.0
81.5,0.0
82.0,0.0
82.5,0.0
83.0,0.0
83.5,0.0
84.0,0.0
84.5,0.0
85.0,0.0
85.5,0.0
86.0,0.0
86.5,0.0
87.0,0.0
87.5,0.0
88.0,0.0
88.5,0.0
89.0,0.0
89.5,0.0
90.0,0.0
90.5,0.0
91.0,0.0
91.5,0.0
92.0,0.0
92.5,0.0
93.0,0.0
93.5,0.0
94.0,0.0
94.5,0.0
95.0,0.0
95.5,0.0
96.0,0.0
96.5,0.0
97.0,0.0
97.5,0.0
98.0,0.0
98.5,0.0
99.0,0.0
99.5,0.0
100.0,0.0
100.5,0.0
