Energy (keV),Fluence (normalized)
0.0,0.0
0.5,0.0
1.0,0.0
1.5,3.677335261567002e-169
2.0,0.0
2.5,2.169222642088628e-284
3.0,1.18819799823635e-179
3.5,9.371841629661672e-120
4.0,6.047709378341392e-83
4.5,3.5504408494468315e-59
5.0,3.960356162290953e-43
5.5,6.586321666983631e-32
6.0,8.102603206575282e-24
6.5,7.499445786564342e-18
7.0,4.2372970762976986e-13
7.5,6.895483873961166e-10
8.0,5.4289552081618334e-06
8.5,6.0307000252165534e-05
9.0,0.0024948211241816644
9.5,0.7259642566416433
10.0,1.320323077103351
10.5,3.7771162122338917
11.0,52.13609362647461
11.5,140.6067237848214
12.0,321.5253576656246
12.5,876.4178317252705
13.0,2357.8243272631817
13.5,5680.872823411383
14.0,12215.052342653402
14.5,23853.311506948303
15.0,42892.99151910937
15.5,71864.83432612293
16.0,113363.27157348223
16.5,169797.53974416744
17.0,243148.27044669984
17.5,334548.90698021225
18.0,444314.2928304463
18.5,572526.5324343458
19.0,718745.7074357377
19.5,881737.7168468656
20.0,1059151.6756487798
20.5,1248152.8182486794
21.0,1446900.1089521362
21.5,1653619.4802428007
22.0,1864799.85677802
22.5,2076891.2332118351
23.0,2288706.984467441
23.5,2499363.231563767
24.0,2707088.8366465387
24.5,2910292.962394105
25.0,3106415.31304374
25.5,3293140.9719297965
26.0,3470761.4672523574
26.5,3639741.953319694
27.0,3799531.9948143745
27.5,3946876.3496022993
28.0,4080611.940475435
28.5,4203620.9284821395
29.0,4316958.819602563
29.5,4420712.360827513
30.0,4513178.581833454
30.5,4592923.1199290315
31.0,4662247.2542211395
31.5,4723340.388220551
32.0,4776522.268214924
32.5,4822090.500740882
33.0,4860428.264796166
33.5,4891802.7237941185
34.0,4916611.802434511
34.5,4935197.330545362
35.0,4945968.137935572
35.5,4947625.961099278
36.0,4942665.501701867
36.5,4933399.210765753
37.0,4920046.395010441
37.5,4902922.371659185
38.0,4882267.791659936
38.5,4858345.494323082
39.0,4831393.561842524
39.5,4801612.132120659
40.0,4768013.488023458
40.5,4729699.727818165
41.0,4688294.45457647
41.5,4645218.446799695
42.0,4600639.477128627
42.5,4554688.963350258
43.0,4507471.877139677
43.5,4459123.096887828
44.0,4409766.067776742
44.5,4359512.633680484
45.0,4307709.9071275545
45.5,4253712.295796372
46.0,4198521.811176443
46.5,4143000.2639036607
47.0,4087215.5169350137
47.5,4031253.9476812994
48.0,3975094.6628961996
48.5,3918854.904022216
49.0,3862519.1340575693
49.5,3806184.7617229694
50.0,3749440.9218330453
50.5,3691833.107667095
51.0,3634026.0409895596
51.5,3576421.1069977796
52.0,3519116.7771224277
52.5,3462081.0891030747
53.0,3405358.5914155324
53.5,3348987.1285376106
54.0,3292921.9658090933
54.5,3237248.915047829
55.0,3181607.825768221
55.5,3125860.60008971
56.0,3070246.3655001153
56.5,3015085.141511539
57.0,2960383.119610748
57.5,5059236.904345772
58.0,5005422.832366602
58.5,2798919.7321579475
59.0,6576594.373940931
59.5,6524091.577015489
60.0,2641304.3966569887
60.5,2589278.5668815305
61.0,2537580.6770390435
61.5,2486331.305379888
62.0,2435550.9389579375
62.5,2385191.419692529
63.0,2335299.556171438
63.5,2285847.0306214206
64.0,2236788.522324497
64.5,2188159.172988238
65.0,2139729.9207960167
65.5,2091516.9371192686
66.0,2043676.230245353
66.5,2456898.612956815
67.0,3303877.3164038723
67.5,2819304.2248624247
68.0,1879011.2184750857
68.5,1810305.981899954
69.0,2087294.2255578474
69.5,2024156.7097642983
70.0,1590543.7699561748
70.5,1500807.03523224
71.0,1462573.3482881428
71.5,1424463.8261723507
72.0,1386418.062206416
72.5,1348460.3272834513
73.0,1310541.3003658697
73.5,1272668.1183027655
74.0,1234805.662959828
74.5,1196931.8472483568
75.0,1159070.4774741717
75.5,1121195.138878344
76.0,1083315.0007305783
76.5,1045398.4901644427
77.0,1007435.321873108
77.5,969427.613604631
78.0,931356.0182168144
78.5,893197.5222005615
79.0,854983.2744657366
79.5,816673.9048646311
80.0,778268.2286036239
80.5,739520.5491901934
81.0,700243.7376096162
81.5,664083.3694706218
82.0,627810.7978946338
82.5,591461.5107994963
83.0,554986.601587946
83.5,518400.42493234255
84.0,481717.6289096124
84.5,444897.811816995
85.0,407079.7507024222
85.5,367393.48627715796
86.0,340933.64082727727
86.5,314381.8946134939
87.0,287731.7212382541
87.5,260990.7053709151
88.0,234162.84264613476
88.5,207243.91969376823
89.0,180158.678639998
89.5,151561.93296973492
90.0,120259.31634726173
90.5,109376.37924359167
91.0,98459.42773110181
91.5,87512.60172404611
92.0,76532.58759526098
92.5,65547.9919187209
93.0,54504.1382195544
93.5,43349.83962985327
94.0,31353.054644680375
94.5,17885.148630305008
95.0,15991.541759177544
95.5,14093.892849479847
96.0,12194.783017634334
96.5,10290.062350773062
97.0,8389.628025496006
97.5,6474.665995377034
98.0,4531.075845864337
98.5,2413.276312793135
99.0,0.0
99.5,0.0
100.0,0.0
100.5,0.0
