Energy (keV),Fluence (normalized)
0.0,0.0
0.5,0.0
1.0,0.0
1.5,1.0291590337627757e-15
2.0,7.701873976791943e-93
2.5,7.610844987122632e-53
3.0,7.662835318250643e-32
3.5,8.68456432552736e-20
4.0,2.374538988726685e-12
4.5,1.59972015613428e-07
5.0,0.00031489844148806044
5.5,0.0696806155064715
6.0,3.7332830166821447
6.5,75.49805412254992
7.0,1091.2879967819051
7.5,6454.3424237336685
8.0,143803.1878457079
8.5,590145.7020318521
9.0,153836.37766716426
9.5,2675090.209643922
10.0,2778159.7382250833
10.5,471997.6470949337
11.0,963037.1433171727
11.5,1991807.5363095733
12.0,1015119.0256354066
12.5,1102045.9947081374
13.0,1390303.8828773159
13.5,1736454.3850786032
14.0,2109908.728192653
14.5,2504815.667409476
15.0,2914180.4425267153
15.5,3331224.033431193
16.0,3750015.2845119964
16.5,4164789.9954310874
17.0,4570749.402279985
17.5,4963838.67655949
18.0,5339732.896932786
18.5,5696969.723866025
19.0,6033328.629254365
19.5,6347428.39285683
20.0,6638057.645598581
20.5,6903463.691689057
21.0,7145045.002713205
21.5,7363120.445006254
22.0,7557827.408397856
22.5,7728150.8512543505
23.0,7876746.128590744
23.5,8004964.198643769
24.0,8113598.26345503
24.5,8203842.896049056
25.0,8276469.235657392
25.5,8331308.032758657
26.0,8370905.815809004
26.5,8396430.951204313
27.0,8408918.56569214
27.5,8408397.44226054
28.0,8394724.762223894
28.5,8370971.022654659
29.0,8338114.63890007
29.5,8296938.232880259
30.0,8248032.354076715
30.5,8190316.976636334
31.0,8126553.076048495
31.5,8057355.820160219
32.0,7983545.4255959485
32.5,7905421.093651494
33.0,7823582.6660435535
33.5,7738380.392516989
34.0,7650348.238358086
34.5,7559722.449645471
35.0,7466745.608005889
35.5,7370201.346123581
36.0,7272129.268802293
36.5,7172951.678511143
37.0,7072941.756402112
37.5,6972299.969894004
38.0,6871191.569989542
38.5,6769839.328584228
39.0,6668397.455421949
39.5,6566953.914437832
40.0,6465508.690863651
40.5,6363354.761803081
41.0,6261566.390465984
41.5,6160367.378547918
42.0,6059826.990701099
42.5,5960017.532815786
43.0,5860887.265501752
43.5,5762654.414888995
44.0,5665242.21505171
44.5,5568789.317315453
45.0,5473169.893696107
45.5,5377916.521358677
46.0,5283640.582573639
46.5,5190398.83313959
47.0,5098195.167519017
47.5,5007159.252764391
48.0,4917070.497847995
48.5,4828250.423688492
49.0,4740372.45634339
49.5,4653696.50028112
50.0,4568018.452502913
50.5,4483062.125823708
51.0,4399190.669079415
51.5,4316422.011170373
52.0,4234658.036137393
52.5,4154129.647957077
53.0,4074491.475218184
53.5,3996136.509374377
54.0,3918707.9386969283
54.5,3842389.332202665
55.0,3766999.5601361664
55.5,3692386.5103078475
56.0,3618757.9165322
56.5,3546109.4460684787
57.0,3474379.1314493935
57.5,4710836.391697283
58.0,7207199.896086487
58.5,3264913.4865302998
59.0,5509518.683391977
59.5,9981945.519456396
60.0,3063498.647485661
60.5,2997871.604136569
61.0,2933203.6254007313
61.5,2869226.298422443
62.0,2806089.833558176
62.5,2743698.74929501
63.0,2682090.4522649776
63.5,2621175.480702444
64.0,2560994.284939373
64.5,2501393.4105449757
65.0,2442552.355403686
65.5,2384192.0303342454
66.0,2326537.8408445064
66.5,2541795.1943936422
67.0,4583785.5016878145
67.5,2724814.3244413803
68.0,2115142.8607064043
68.5,2046907.8436252512
69.0,2306712.7593497294
69.5,2380249.858138977
70.0,1759317.213017388
70.5,1683912.362740022
71.0,1638837.2106783616
71.5,1593986.3568749689
72.0,1549231.6279958047
72.5,1504709.8558712692
73.0,1460210.9816079433
73.5,1415880.4252588563
74.0,1371543.9758253843
74.5,1327277.5780288954
75.0,1283089.8758034152
75.5,1238934.0503073572
76.0,1194592.7797823113
76.5,1149788.9757769634
77.0,1108769.8237487013
77.5,1067878.7278123526
78.0,1026895.5307431202
78.5,985968.9469268051
79.0,944999.6399665592
79.5,903986.8239456456
80.0,862961.8948286003
80.5,821852.2027432256
81.0,780696.3419099477
81.5,739489.8444876553
82.0,698278.8456148569
82.5,656931.7914487807
83.0,613633.3237853699
83.5,576342.6099611
84.0,547260.9032874303
84.5,518159.9510289811
85.0,489055.8309853041
85.5,459898.58270125225
86.0,430713.1559025599
86.5,401451.0271499437
87.0,372142.1733212063
87.5,342753.5713270509
88.0,313335.18092836026
88.5,283827.26444845344
89.0,254191.56670546375
89.5,222902.10149673023
90.0,188685.564894251
90.5,177047.99049658136
91.0,165431.65945057594
91.5,153799.85121681748
92.0,142175.51777428144
92.5,130529.1282819677
93.0,118876.98054761073
93.5,107196.14508553917
94.0,95524.7120012467
94.5,83796.92842432769
95.0,72160.6820420508
95.5,60310.117108539096
96.0,48425.42957843503
96.5,34806.99727816818
97.0,26351.036188043337
97.5,24378.538005603637
98.0,22407.772733015754
98.5,20438.499460200048
99.0,18469.143428036845
99.5,16499.742539274634
100.0,14529.506809148095
100.5,12561.70380046501
